generating_model,replicate,sample_kind,stage,run,fitted_model,seed
M1,11,nominal,fit,A,M1,477201786
M1,11,nominal,fit,A,M2,2552790276
M1,11,nominal,fit,A,M3,3121921451
M1,12,nominal,simulate,A,,206294943
M1,12,nominal,simulate,B,,986796613
M1,12,nominal,fit,A,choice_only,460635115
M1,12,nominal,fit,A,M1,849175642
M1,12,nominal,fit,A,M2,420095124
M1,12,nominal,fit,A,M3,466577672
M1,13,nominal,simulate,A,,3400277434
M1,13,nominal,simulate,B,,1016946851
M1,13,nominal,fit,A,choice_only,1168009676
M1,13,nominal,fit,A,M1,2689639233
M1,13,nominal,fit,A,M2,2388315982
M1,13,nominal,fit,A,M3,4011457554
M1,14,nominal,simulate,A,,4135073382
M1,14,nominal,simulate,B,,260862613
M1,14,nominal,fit,A,choice_only,3473140429
M1,14,nominal,fit,A,M1,1510341401
M1,14,nominal,fit,A,M2,521530793
M1,14,nominal,fit,A,M3,610921756
M1,15,nominal,simulate,A,,4282715269
M1,15,nominal,simulate,B,,1386807945
M1,15,nominal,fit,A,choice_only,2762358077
M1,15,nominal,fit,A,M1,238356642
M1,15,nominal,fit,A,M2,195283800
M1,15,nominal,fit,A,M3,2794248816
M1,16,nominal,simulate,A,,3851394821
M1,16,nominal,simulate,B,,2198656040
M1,16,nominal,fit,A,choice_only,2835851521
M1,16,nominal,fit,A,M1,3899991157
M1,16,nominal,fit,A,M2,1147388940
M1,16,nominal,fit,A,M3,1517935998
M1,17,nominal,simulate,A,,3780331246
M1,17,nominal,simulate,B,,3206616364
M1,17,nominal,fit,A,choice_only,2798380715
M1,17,nominal,fit,A,M1,3863776655
M1,17,nominal,fit,A,M2,2683017347
M1,17,nominal,fit,A,M3,1095073403
M1,18,nominal,simulate,A,,2633118488
M1,18,nominal,simulate,B,,4279834503
M1,18,nominal,fit,A,choice_only,3235224894
M1,18,nominal,fit,A,M1,1637050647
M1,18,nominal,fit,A,M2,996486913
M1,18,nominal,fit,A,M3,3817634234
M1,19,nominal,simulate,A,,2561609943
M1,19,nominal,simulate,B,,1222174276
M1,19,nominal,fit,A,choice_only,2292387929
M1,19,nominal,fit,A,M1,2828229148
M1,19,nominal,fit,A,M2,2485279009
M1,19,nominal,fit,A,M3,3927365223
M1,20,nominal,simulate,A,,2740666326
M1,20,nominal,simulate,B,,3535144845
M1,20,nominal,fit,A,choice_only,751263540
M1,20,nominal,fit,A,M1,819248520
M1,20,nominal,fit,A,M2,4160798012
M1,20,nominal,fit,A,M3,1327375277
M1,21,nominal,simulate,A,,2575899326
M1,21,nominal,simulate,B,,2547376984
M1,21,nominal,fit,A,choice_only,4265640358
M1,21,nominal,fit,A,M1,228065814
M1,21,nominal,fit,A,M2,1947102910
M1,21,nominal,fit,A,M3,232444573
M1,22,nominal,simulate,A,,1254181611
M1,22,nominal,simulate,B,,2847556067
M1,22,nominal,fit,A,choice_only,932032180
M1,22,nominal,fit,A,M1,2127577307
M1,22,nominal,fit,A,M2,819876213
M1,22,nominal,fit,A,M3,1650596625
M1,23,nominal,simulate,A,,1860452717
M1,23,nominal,simulate,B,,4008674783
M1,23,nominal,fit,A,choice_only,485399474
M1,23,nominal,fit,A,M1,3273414873
M1,23,nominal,fit,A,M2,2342949509
M1,23,nominal,fit,A,M3,1357355298
M1,24,nominal,simulate,A,,1810061873
M1,24,nominal,simulate,B,,255244661
M1,24,nominal,fit,A,choice_only,2418154217
M1,24,nominal,fit,A,M1,1594134723
M1,24,nominal,fit,A,M2,581345649
M1,24,nominal,fit,A,M3,3011528302
M1,25,nominal,simulate,A,,3928401401
M1,25,nominal,simulate,B,,3829612292
M1,25,nominal,fit,A,choice_only,3048090618
M1,25,nominal,fit,A,M1,2819698315
M1,25,nominal,fit,A,M2,2069386514
M1,25,nominal,fit,A,M3,1432170084
M1,26,nominal,simulate,A,,857416811
M1,26,nominal,simulate,B,,238730400
M1,26,nominal,fit,A,choice_only,2315101812
M1,26,nominal,fit,A,M1,2900571703
M1,26,nominal,fit,A,M2,959010546
M1,26,nominal,fit,A,M3,191105256
M1,27,nominal,simulate,A,,2309376910
M1,27,nominal,simulate,B,,3095097744
M1,27,nominal,fit,A,choice_only,451518743
M1,27,nominal,fit,A,M1,4016052133
M1,27,nominal,fit,A,M2,4000230664
M1,27,nominal,fit,A,M3,3776747035
M1,28,nominal,simulate,A,,2117933291
M1,28,nominal,simulate,B,,3604365247
M1,28,nominal,fit,A,choice_only,2965089519
M1,28,nominal,fit,A,M1,3864322867
M1,28,nominal,fit,A,M2,1116398761
M1,28,nominal,fit,A,M3,1045236815
M1,29,nominal,simulate,A,,3353854270
M1,29,nominal,simulate,B,,1748716058
M1,29,nominal,fit,A,choice_only,1104361808
M1,29,nominal,fit,A,M1,1231236213
M1,29,nominal,fit,A,M2,3324554444
M1,29,nominal,fit,A,M3,1586358440
M1,30,nominal,simulate,A,,4232645385
M1,30,nominal,simulate,B,,2889660178
M1,30,nominal,fit,A,choice_only,2522794807
M1,30,nominal,fit,A,M1,3102875465
M1,30,nominal,fit,A,M2,3633183946
M1,30,nominal,fit,A,M3,3912135590
M1,31,nominal,simulate,A,,3039311297
M1,31,nominal,simulate,B,,2950446910
M1,31,nominal,fit,A,choice_only,4244638692
M1,31,nominal,fit,A,M1,146766870
M1,31,nominal,fit,A,M2,4202810430
M1,31,nominal,fit,A,M3,2921139116
M1,32,nominal,simulate,A,,682223907
M1,32,nominal,simulate,B,,3700439732
M1,32,nominal,fit,A,choice_only,925602645
M1,32,nominal,fit,A,M1,3058527731
M1,32,nominal,fit,A,M2,2710717713
M1,32,nominal,fit,A,M3,2138294321
M1,33,nominal,simulate,A,,720079424
M1,33,nominal,simulate,B,,3893388295
M1,33,nominal,fit,A,choice_only,3950976649
M1,33,nominal,fit,A,M1,2768784750
M1,33,nominal,fit,A,M2,2475299955
M1,33,nominal,fit,A,M3,1492818489
M1,34,nominal,simulate,A,,4003647299
M1,34,nominal,simulate,B,,1922062849
M1,34,nominal,fit,A,choice_only,4187176126
M1,34,nominal,fit,A,M1,1898464765
M1,34,nominal,fit,A,M2,2603531380
M1,34,nominal,fit,A,M3,2646778111
M1,35,nominal,simulate,A,,2048666949
M1,35,nominal,simulate,B,,3102196661
M1,35,nominal,fit,A,choice_only,1157656801
M1,35,nominal,fit,A,M1,2856790825
M1,35,nominal,fit,A,M2,3474878665
M1,35,nominal,fit,A,M3,1107069570
M1,36,nominal,simulate,A,,3967184361
M1,36,nominal,simulate,B,,726295980
M1,36,nominal,fit,A,choice_only,239648059
M1,36,nominal,fit,A,M1,147544108
M1,36,nominal,fit,A,M2,1870059505
M1,36,nominal,fit,A,M3,3349770141
M1,37,nominal,simulate,A,,2327943502
M1,37,nominal,simulate,B,,2281534046
M1,37,nominal,fit,A,choice_only,417820157
M1,37,nominal,fit,A,M1,3143873086
M1,37,nominal,fit,A,M2,3910277537
M1,37,nominal,fit,A,M3,3477432084
M1,38,nominal,simulate,A,,1167844221
M1,38,nominal,simulate,B,,2996671407
M1,38,nominal,fit,A,choice_only,3766475862
M1,38,nominal,fit,A,M1,1996143863
M1,38,nominal,fit,A,M2,178421017
M1,38,nominal,fit,A,M3,445444788
M1,39,nominal,simulate,A,,2820001627
M1,39,nominal,simulate,B,,2061349014
M1,39,nominal,fit,A,choice_only,1245328602
M1,39,nominal,fit,A,M1,1231165735
M1,39,nominal,fit,A,M2,712463543
M1,39,nominal,fit,A,M3,3878651130
M1,40,nominal,simulate,A,,1363488598
M1,40,nominal,simulate,B,,1163548350
M1,40,nominal,fit,A,choice_only,4218659614
M1,40,nominal,fit,A,M1,3200524351
M1,40,nominal,fit,A,M2,738414697
M1,40,nominal,fit,A,M3,3785186953
M1,41,nominal,simulate,A,,3932618781
M1,41,nominal,simulate,B,,1132490443
M1,41,nominal,fit,A,choice_only,1991957638
M1,41,nominal,fit,A,M1,2562739353
M1,41,nominal,fit,A,M2,1320874564
M1,41,nominal,fit,A,M3,3691046238
M1,42,nominal,simulate,A,,1135540834
M1,42,nominal,simulate,B,,1443002696
M1,42,nominal,fit,A,choice_only,1950967256
M1,42,nominal,fit,A,M1,3264461514
M1,42,nominal,fit,A,M2,3284176030
M1,42,nominal,fit,A,M3,2534760114
M1,43,nominal,simulate,A,,1586832914
M1,43,nominal,simulate,B,,4097211440
M1,43,nominal,fit,A,choice_only,3332603165
M1,43,nominal,fit,A,M1,2260995088
M1,43,nominal,fit,A,M2,3743234794
M1,43,nominal,fit,A,M3,3812979358
M1,44,nominal,simulate,A,,3707810924
M1,44,nominal,simulate,B,,1425252536
M1,44,nominal,fit,A,choice_only,926768865
M1,44,nominal,fit,A,M1,2431489758
M1,44,nominal,fit,A,M2,868261464
M1,44,nominal,fit,A,M3,683935138
M1,45,nominal,simulate,A,,302533738
M1,45,nominal,simulate,B,,731159956
M1,45,nominal,fit,A,choice_only,2805986486
M1,45,nominal,fit,A,M1,2544853942
M1,45,nominal,fit,A,M2,2542734272
M1,45,nominal,fit,A,M3,1736489519
M1,46,nominal,simulate,A,,1175452589
M1,46,nominal,simulate,B,,2560481579
M1,46,nominal,fit,A,choice_only,779559826
M1,46,nominal,fit,A,M1,663229297
M1,46,nominal,fit,A,M2,2385057572
M1,46,nominal,fit,A,M3,1748885560
M1,47,nominal,simulate,A,,3430543723
M1,47,nominal,simulate,B,,1605709871
M1,47,nominal,fit,A,choice_only,874078602
M1,47,nominal,fit,A,M1,3769771352
M1,47,nominal,fit,A,M2,3842563776
M1,47,nominal,fit,A,M3,1326369431
M1,48,nominal,simulate,A,,1871678599
M1,48,nominal,simulate,B,,3574294449
M1,48,nominal,fit,A,choice_only,331623532
M1,48,nominal,fit,A,M1,2313628806
M1,48,nominal,fit,A,M2,756917712
M1,48,nominal,fit,A,M3,2273581444
M1,49,nominal,simulate,A,,3112464104
M1,49,nominal,simulate,B,,2624491405
M1,49,nominal,fit,A,choice_only,2149654444
M1,49,nominal,fit,A,M1,2023283925
M1,49,nominal,fit,A,M2,3442765821
M1,49,nominal,fit,A,M3,2544482303
M1,50,nominal,simulate,A,,2597255844
M1,50,nominal,simulate,B,,3946598478
M1,50,nominal,fit,A,choice_only,2360586392
M1,50,nominal,fit,A,M1,4051417666
M1,50,nominal,fit,A,M2,48401610
M1,50,nominal,fit,A,M3,969615717
M1,51,nominal,simulate,A,,2402614425
M1,51,nominal,simulate,B,,472453862
M1,51,nominal,fit,A,choice_only,1161380944
M1,51,nominal,fit,A,M1,1254403116
M1,51,nominal,fit,A,M2,8817718
M1,51,nominal,fit,A,M3,1951262381
M1,52,nominal,simulate,A,,3982795528
M1,52,nominal,simulate,B,,1888825754
M1,52,nominal,fit,A,choice_only,1659669117
M1,52,nominal,fit,A,M1,1761805351
M1,52,nominal,fit,A,M2,1442812895
M1,52,nominal,fit,A,M3,3831470431
M1,53,nominal,simulate,A,,3637103494
M1,53,nominal,simulate,B,,2313086034
M1,53,nominal,fit,A,choice_only,891552081
M1,53,nominal,fit,A,M1,3038469651
M1,53,nominal,fit,A,M2,4229462331
M1,53,nominal,fit,A,M3,93985026
M1,54,nominal,simulate,A,,4196188719
M1,54,nominal,simulate,B,,1470964620
M1,54,nominal,fit,A,choice_only,2631483025
M1,54,nominal,fit,A,M1,4137169951
M1,54,nominal,fit,A,M2,517801439
M1,54,nominal,fit,A,M3,1499317453
M1,55,nominal,simulate,A,,2868618661
M1,55,nominal,simulate,B,,492452935
M1,55,nominal,fit,A,choice_only,3078306113
M1,55,nominal,fit,A,M1,1972597371
M1,55,nominal,fit,A,M2,3272499042
M1,55,nominal,fit,A,M3,237968386
M1,56,nominal,simulate,A,,2774473484
M1,56,nominal,simulate,B,,269891581
M1,56,nominal,fit,A,choice_only,4163524637
M1,56,nominal,fit,A,M1,1137026927
M1,56,nominal,fit,A,M2,153615282
M1,56,nominal,fit,A,M3,925169910
M1,57,nominal,simulate,A,,3642507819
M1,57,nominal,simulate,B,,4091612317
M1,57,nominal,fit,A,choice_only,49445398
M1,57,nominal,fit,A,M1,2583518657
M1,57,nominal,fit,A,M2,1109489557
M1,57,nominal,fit,A,M3,1039515132
M1,58,nominal,simulate,A,,831537306
M1,58,nominal,simulate,B,,1041593813
M1,58,nominal,fit,A,choice_only,2375730274
M1,58,nominal,fit,A,M1,3784818556
M1,58,nominal,fit,A,M2,1742625245
M1,58,nominal,fit,A,M3,1686448203
M1,59,nominal,simulate,A,,2924052973
M1,59,nominal,simulate,B,,1323800710
M1,59,nominal,fit,A,choice_only,917477231
M1,59,nominal,fit,A,M1,4129312565
M1,59,nominal,fit,A,M2,1381318450
M1,59,nominal,fit,A,M3,779332810
M1,60,nominal,simulate,A,,2991236961
M1,60,nominal,simulate,B,,1047426634
M1,60,nominal,fit,A,choice_only,2624642657
M1,60,nominal,fit,A,M1,63333991
M1,60,nominal,fit,A,M2,2832794661
M1,60,nominal,fit,A,M3,1820275362
M1,61,nominal,simulate,A,,777697138
M1,61,nominal,simulate,B,,4010502864
M1,61,nominal,fit,A,choice_only,2200443048
M1,61,nominal,fit,A,M1,1343146030
M1,61,nominal,fit,A,M2,2823966744
M1,61,nominal,fit,A,M3,1858642949
M1,62,nominal,simulate,A,,3130704711
M1,62,nominal,simulate,B,,1644224366
M1,62,nominal,fit,A,choice_only,852700294
M1,62,nominal,fit,A,M1,3916719604
M1,62,nominal,fit,A,M2,3696172659
M1,62,nominal,fit,A,M3,580425761
M1,63,nominal,simulate,A,,367462505
M1,63,nominal,simulate,B,,3312826806
M1,63,nominal,fit,A,choice_only,2763582765
M1,63,nominal,fit,A,M1,2254430318
M1,63,nominal,fit,A,M2,3103575968
M1,63,nominal,fit,A,M3,2863133992
M1,64,nominal,simulate,A,,3587099472
M1,64,nominal,simulate,B,,3058272544
M1,64,nominal,fit,A,choice_only,3478626692
M1,64,nominal,fit,A,M1,2354471981
M1,64,nominal,fit,A,M2,3728293713
M1,64,nominal,fit,A,M3,2254870799
M1,65,nominal,simulate,A,,3629661910
M1,65,nominal,simulate,B,,2072254612
M1,65,nominal,fit,A,choice_only,1971607964
M1,65,nominal,fit,A,M1,1235792151
M1,65,nominal,fit,A,M2,2970012963
M1,65,nominal,fit,A,M3,1304650097
M1,66,nominal,simulate,A,,383111462
M1,66,nominal,simulate,B,,3816870475
M1,66,nominal,fit,A,choice_only,1476064688
M1,66,nominal,fit,A,M1,3547753390
M1,66,nominal,fit,A,M2,4210299143
M1,66,nominal,fit,A,M3,1385489179
M1,67,nominal,simulate,A,,3258352122
M1,67,nominal,simulate,B,,2864732446
M1,67,nominal,fit,A,choice_only,821113983
M1,67,nominal,fit,A,M1,2895861676
M1,67,nominal,fit,A,M2,3488698532
M1,67,nominal,fit,A,M3,87312629
M1,68,nominal,simulate,A,,3925528726
M1,68,nominal,simulate,B,,3365541490
M1,68,nominal,fit,A,choice_only,3487978217
M1,68,nominal,fit,A,M1,1842298870
M1,68,nominal,fit,A,M2,2176388163
M1,68,nominal,fit,A,M3,1219288453
M1,69,nominal,simulate,A,,1575225408
M1,69,nominal,simulate,B,,3625233333
M1,69,nominal,fit,A,choice_only,3296135677
M1,69,nominal,fit,A,M1,3491665206
M1,69,nominal,fit,A,M2,2476403316
M1,69,nominal,fit,A,M3,2734855865
M1,70,nominal,simulate,A,,997630647
M1,70,nominal,simulate,B,,3901480835
M1,70,nominal,fit,A,choice_only,3382823632
M1,70,nominal,fit,A,M1,299704257
M1,70,nominal,fit,A,M2,3325879384
M1,70,nominal,fit,A,M3,2609193640
M1,71,nominal,simulate,A,,3733835249
M1,71,nominal,simulate,B,,1094141809
M1,71,nominal,fit,A,choice_only,556975654
M1,71,nominal,fit,A,M1,1570453701
M1,71,nominal,fit,A,M2,645478695
M1,71,nominal,fit,A,M3,1387376100
M1,72,nominal,simulate,A,,3532318993
M1,72,nominal,simulate,B,,1605759545
M1,72,nominal,fit,A,choice_only,3562508039
M1,72,nominal,fit,A,M1,2713369983
M1,72,nominal,fit,A,M2,2798502789
M1,72,nominal,fit,A,M3,475428425
M1,73,nominal,simulate,A,,3596758838
M1,73,nominal,simulate,B,,2192152527
M1,73,nominal,fit,A,choice_only,442936995
M1,73,nominal,fit,A,M1,3597076184
M1,73,nominal,fit,A,M2,2789995495
M1,73,nominal,fit,A,M3,2867849996
M1,74,nominal,simulate,A,,177138305
M1,74,nominal,simulate,B,,2902635756
M1,74,nominal,fit,A,choice_only,2563797182
M1,74,nominal,fit,A,M1,1921919785
M1,74,nominal,fit,A,M2,3629921545
M1,74,nominal,fit,A,M3,3962136471
M1,75,nominal,simulate,A,,204946526
M1,75,nominal,simulate,B,,2001255980
M1,75,nominal,fit,A,choice_only,978781260
M1,75,nominal,fit,A,M1,1215551373
M1,75,nominal,fit,A,M2,4103539814
M1,75,nominal,fit,A,M3,963282566
M1,76,nominal,simulate,A,,1968336027
M1,76,nominal,simulate,B,,3944958781
M1,76,nominal,fit,A,choice_only,2206485169
M1,76,nominal,fit,A,M1,299251197
M1,76,nominal,fit,A,M2,4239606288
M1,76,nominal,fit,A,M3,2436318485
M1,77,nominal,simulate,A,,1681629767
M1,77,nominal,simulate,B,,57302711
M1,77,nominal,fit,A,choice_only,3945815410
M1,77,nominal,fit,A,M1,1353061941
M1,77,nominal,fit,A,M2,1651972301
M1,77,nominal,fit,A,M3,1924319474
M1,78,nominal,simulate,A,,521918434
M1,78,nominal,simulate,B,,98461546
M1,78,nominal,fit,A,choice_only,3565349436
M1,78,nominal,fit,A,M1,238735744
M1,78,nominal,fit,A,M2,2063101414
M1,78,nominal,fit,A,M3,3861026128
M1,79,nominal,simulate,A,,2086054379
M1,79,nominal,simulate,B,,1125088019
M1,79,nominal,fit,A,choice_only,1728977056
M1,79,nominal,fit,A,M1,2054190229
M1,79,nominal,fit,A,M2,2586897979
M1,79,nominal,fit,A,M3,238350615
M1,80,nominal,simulate,A,,3216028300
M1,80,nominal,simulate,B,,1162430878
M1,80,nominal,fit,A,choice_only,1455951474
M1,80,nominal,fit,A,M1,3697006878
M1,80,nominal,fit,A,M2,2969868617
M1,80,nominal,fit,A,M3,1322205677
M1,81,nominal,simulate,A,,3764855226
M1,81,nominal,simulate,B,,3194562027
M1,81,nominal,fit,A,choice_only,2929415178
M1,81,nominal,fit,A,M1,149004209
M1,81,nominal,fit,A,M2,4222083593
M1,81,nominal,fit,A,M3,504504068
M1,82,nominal,simulate,A,,1047295808
M1,82,nominal,simulate,B,,3728597421
M1,82,nominal,fit,A,choice_only,1748663435
M1,82,nominal,fit,A,M1,2920994903
M1,82,nominal,fit,A,M2,1880556965
M1,82,nominal,fit,A,M3,1758513601
M1,83,nominal,simulate,A,,2752526702
M1,83,nominal,simulate,B,,3698719142
M1,83,nominal,fit,A,choice_only,2706076394
M1,83,nominal,fit,A,M1,2933870009
M1,83,nominal,fit,A,M2,2311607448
M1,83,nominal,fit,A,M3,2577268071
M1,84,nominal,simulate,A,,1412642842
M1,84,nominal,simulate,B,,3443996307
M1,84,nominal,fit,A,choice_only,1012889928
M1,84,nominal,fit,A,M1,55269571
M1,84,nominal,fit,A,M2,2696196172
M1,84,nominal,fit,A,M3,475201204
M1,85,nominal,simulate,A,,572278380
M1,85,nominal,simulate,B,,2960995234
M1,85,nominal,fit,A,choice_only,3195269115
M1,85,nominal,fit,A,M1,2628391511
M1,85,nominal,fit,A,M2,1165406407
M1,85,nominal,fit,A,M3,2077116990
M1,86,nominal,simulate,A,,2035540847
M1,86,nominal,simulate,B,,980567858
M1,86,nominal,fit,A,choice_only,311684905
M1,86,nominal,fit,A,M1,3432726401
M1,86,nominal,fit,A,M2,1717277666
M1,86,nominal,fit,A,M3,3793591734
M1,87,nominal,simulate,A,,558809114
M1,87,nominal,simulate,B,,3397919450
M1,87,nominal,fit,A,choice_only,2101167564
M1,87,nominal,fit,A,M1,507141418
M1,87,nominal,fit,A,M2,1824181185
M1,87,nominal,fit,A,M3,331321527
M1,88,nominal,simulate,A,,4112403984
M1,88,nominal,simulate,B,,3556076712
M1,88,nominal,fit,A,choice_only,1007506798
M1,88,nominal,fit,A,M1,3264556811
M1,88,nominal,fit,A,M2,1927272148
M1,88,nominal,fit,A,M3,2714364852
M1,89,nominal,simulate,A,,2189174398
M1,89,nominal,simulate,B,,3952296089
M1,89,nominal,fit,A,choice_only,2372052294
M1,89,nominal,fit,A,M1,2032371559
M1,89,nominal,fit,A,M2,3906928000
M1,89,nominal,fit,A,M3,3700000284
M1,90,nominal,simulate,A,,621551563
M1,90,nominal,simulate,B,,395524167
M1,90,nominal,fit,A,choice_only,3019993230
M1,90,nominal,fit,A,M1,2892819684
M1,90,nominal,fit,A,M2,259249191
M1,90,nominal,fit,A,M3,1896700273
M1,91,nominal,simulate,A,,3111934498
M1,91,nominal,simulate,B,,1745432297
M1,91,nominal,fit,A,choice_only,2493988322
M1,91,nominal,fit,A,M1,3377824288
M1,91,nominal,fit,A,M2,222912532
M1,91,nominal,fit,A,M3,1474039987
M1,92,nominal,simulate,A,,2170619363
M1,92,nominal,simulate,B,,2881092739
M1,92,nominal,fit,A,choice_only,2547334536
M1,92,nominal,fit,A,M1,2099877465
M1,92,nominal,fit,A,M2,1508593370
M1,92,nominal,fit,A,M3,3695675232
M1,93,nominal,simulate,A,,1116036545
M1,93,nominal,simulate,B,,531245584
M1,93,nominal,fit,A,choice_only,1833325924
M1,93,nominal,fit,A,M1,1201480997
M1,93,nominal,fit,A,M2,2145565710
M1,93,nominal,fit,A,M3,2445013124
M1,94,nominal,simulate,A,,915446707
M1,94,nominal,simulate,B,,4182997945
M1,94,nominal,fit,A,choice_only,100137666
M1,94,nominal,fit,A,M1,1423873822
M1,94,nominal,fit,A,M2,1689063312
M1,94,nominal,fit,A,M3,995615797
M1,95,nominal,simulate,A,,1813136672
M1,95,nominal,simulate,B,,2620064463
M1,95,nominal,fit,A,choice_only,2726336459
M1,95,nominal,fit,A,M1,1249139991
M1,95,nominal,fit,A,M2,937099671
M1,95,nominal,fit,A,M3,3910123438
M1,96,nominal,simulate,A,,167682517
M1,96,nominal,simulate,B,,286379211
M1,96,nominal,fit,A,choice_only,2843376378
M1,96,nominal,fit,A,M1,39291710
M1,96,nominal,fit,A,M2,2566327994
M1,96,nominal,fit,A,M3,1027163959
M1,97,nominal,simulate,A,,126348051
M1,97,nominal,simulate,B,,1246736664
M1,97,nominal,fit,A,choice_only,362186763
M1,97,nominal,fit,A,M1,1139996738
M1,97,nominal,fit,A,M2,73288786
M1,97,nominal,fit,A,M3,3530333139
M1,98,nominal,simulate,A,,3605688119
M1,98,nominal,simulate,B,,1659649827
M1,98,nominal,fit,A,choice_only,1056084352
M1,98,nominal,fit,A,M1,2656039224
M1,98,nominal,fit,A,M2,3096465054
M1,98,nominal,fit,A,M3,642108381
M1,99,nominal,simulate,A,,583566962
M1,99,nominal,simulate,B,,1970547509
M1,99,nominal,fit,A,choice_only,1429987792
M1,99,nominal,fit,A,M1,4050020618
M1,99,nominal,fit,A,M2,2540240577
M1,99,nominal,fit,A,M3,1558503583
M1,100,nominal,simulate,A,,679134605
M1,100,nominal,simulate,B,,2734498422
M1,100,nominal,fit,A,choice_only,3504182824
M1,100,nominal,fit,A,M1,3743805805
M1,100,nominal,fit,A,M2,3920233755
M1,100,nominal,fit,A,M3,3480538335
M1,101,nominal,simulate,A,,1699061239
M1,101,nominal,simulate,B,,1462331296
M1,101,nominal,fit,A,choice_only,3716343904
M1,101,nominal,fit,A,M1,650050193
M1,101,nominal,fit,A,M2,4215360376
M1,101,nominal,fit,A,M3,1565399539
M1,102,nominal,simulate,A,,2924574625
M1,102,nominal,simulate,B,,2356112438
M1,102,nominal,fit,A,choice_only,1509074421
M1,102,nominal,fit,A,M1,1604979816
M1,102,nominal,fit,A,M2,1081185109
M1,102,nominal,fit,A,M3,3302471775
M1,103,nominal,simulate,A,,3390243137
M1,103,nominal,simulate,B,,2948013048
M1,103,nominal,fit,A,choice_only,1843316908
M1,103,nominal,fit,A,M1,3799282541
M1,103,nominal,fit,A,M2,3499132199
M1,103,nominal,fit,A,M3,2082147272
M1,104,nominal,simulate,A,,1316811883
M1,104,nominal,simulate,B,,845035996
M1,104,nominal,fit,A,choice_only,582318860
M1,104,nominal,fit,A,M1,3100643594
M1,104,nominal,fit,A,M2,1684814541
M1,104,nominal,fit,A,M3,956148118
M1,105,nominal,simulate,A,,1500283708
M1,105,nominal,simulate,B,,1358654938
M1,105,nominal,fit,A,choice_only,174315036
M1,105,nominal,fit,A,M1,1243302334
M1,105,nominal,fit,A,M2,1824635448
M1,105,nominal,fit,A,M3,2660172641
M1,106,nominal,simulate,A,,3663411662
M1,106,nominal,simulate,B,,1165516880
M1,106,nominal,fit,A,choice_only,3964111299
M1,106,nominal,fit,A,M1,3773375282
